console,company,colors,
Atari 2600,Atari,#507320,"""Atari 2600"" = ""#507320"","
Atari 5200,Atari,#82BF2C,"""Atari 5200"" = ""#82BF2C"","
NES,Nintendo,#8C2620,"""NES"" = ""#8C2620"","
Game Boy / GB Color,Nintendo,#400B1D,"""Game Boy / GB Color"" = ""#400B1D"","
Super NES,Nintendo,#402322,"""Super NES"" = ""#402322"","
Nintendo 64,Nintendo,#BF332C,"""Nintendo 64"" = ""#BF332C"","
Game Boy Advance,Nintendo,#CA6184,"""Game Boy Advance"" = ""#CA6184"","
Nintendo GameCube,Nintendo,#5F1A16,"""Nintendo GameCube"" = ""#5F1A16"","
Wii,Nintendo,#CA706B,"""Wii"" = ""#CA706B"","
Nintendo DS,Nintendo,#BF2257,"""Nintendo DS"" = ""#BF2257"","
Nintendo 3DS,Nintendo,#401F2A,"""Nintendo 3DS"" = ""#401F2A"","
Wii U,Nintendo,#CC2D25,"""Wii U"" = ""#CC2D25"","
Nintendo Switch,Nintendo,#D62F27,"""Nintendo Switch"" = ""#D62F27"","
Intellivision,Other,#F7FFBC,"""Intellivision"" = ""#F7FFBC"","
ColecoVision,Other,#EEFF70,"""ColecoVision"" = ""#EEFF70"","
TurboGrafx-16,Other,#FFF2B0,"""TurboGrafx-16"" = ""#FFF2B0"","
PlayStation,Playstation,#00E8C9,"""PlayStation"" = ""#00E8C9"","
PlayStation 2,Playstation,#34AC9C,"""PlayStation 2"" = ""#34AC9C"","
PlayStation Portable,Playstation,#009C87,"""PlayStation Portable"" = ""#009C87"","
PlayStation 3,Playstation,#46E8D2,"""PlayStation 3"" = ""#46E8D2"","
PlayStation Vita,Playstation,#00695B,"""PlayStation Vita"" = ""#00695B"","
PlayStation 4,Playstation,#36B5A4,"""PlayStation 4"" = ""#36B5A4"","
Sega Master System,Sega,#1F5782,"""Sega Master System"" = ""#1F5782"","
Sega Genesis / Mega Drive,Sega,#2B3F4F,"""Sega Genesis / Mega Drive"" = ""#2B3F4F"","
Sega Game Gear,Sega,#0D2436,"""Sega Game Gear"" = ""#0D2436"","
Sega Saturn,Sega,#466882,"""Sega Saturn"" = ""#466882"","
Sega Dreamcast,Sega,#328BCF,"""Sega Dreamcast"" = ""#328BCF"","
Xbox,Xbox,#781F82,"""Xbox"" = ""#781F82"","
Xbox 360,Xbox,#4B2B4F,"""Xbox 360"" = ""#4B2B4F"","
Xbox One,Xbox,#4B2B4F,"""Xbox One"" = ""#4B2B4F"","