Name,Code,State,Local,RTA,Rate,Effective Date,Expiration Date
ILWACO,2501,0.065,0.016,0,0.081,20181001,20181231
LONG BEACH,2502,0.065,0.018,0,0.083,20181001,20181231
RAYMOND,2503,0.065,0.016,0,0.081,20181001,20181231
SOUTH BEND,2504,0.065,0.016,0,0.081,20181001,20181231
PEND OREILLE COUNTY,2600,0.065,0.011,0,0.076,20181001,20181231
CUSICK,2601,0.065,0.011,0,0.076,20181001,20181231
IONE,2602,0.065,0.011,0,0.076,20181001,20181231
METALINE,2603,0.065,0.011,0,0.076,20181001,20181231
METALINE FALLS,2604,0.065,0.011,0,0.076,20181001,20181231
NEWPORT,2605,0.065,0.011,0,0.076,20181001,20181231
PIERCE COUNTY RTA,2700,0.065,0.028,0,0.093,20181001,20181231
BONNEY LAKE RTA,2701,0.065,0.028,0,0.093,20181001,20181231
BUCKLEY,2702,0.065,0.014,0,0.079,20181001,20181231
CARBONADO,2703,0.065,0.014,0,0.079,20181001,20181231
DUPONT,2704,0.065,0.028,0,0.093,20181001,20181231
EATONVILLE,2705,0.065,0.014,0,0.079,20181001,20181231
FIFE,2706,0.065,0.034,0,0.099,20181001,20181231
FIRCREST,2707,0.065,0.034,0,0.099,20181001,20181231
GIG HARBOR,2708,0.065,0.02,0,0.085,20181001,20181231
MILTON/PIERCE,2709,0.065,0.034,0,0.099,20181001,20181231
ORTING,2710,0.065,0.028,0,0.093,20181001,20181231
PUYALLUP,2711,0.065,0.034,0,0.099,20181001,20181231
ROY,2712,0.065,0.015,0,0.08,20181001,20181231
RUSTON,2713,0.065,0.034,0,0.099,20181001,20181231
SOUTH PRAIRIE,2714,0.065,0.014,0,0.079,20181001,20181231
STEILACOOM,2715,0.065,0.034,0,0.099,20181001,20181231
SUMNER,2716,0.065,0.028,0,0.093,20181001,20181231
TACOMA,2717,0.065,0.036,0,0.101,20181001,20181231
WILKESON,2718,0.065,0.014,0,0.079,20181001,20181231
UNIVERSITY PLACE,2719,0.065,0.034,0,0.099,20181001,20181231
EDGEWOOD,2720,0.065,0.034,0,0.099,20181001,20181231
LAKEWOOD,2721,0.065,0.034,0,0.099,20181001,20181231
PACIFIC/PIERCE,2723,0.065,0.034,0,0.099,20181001,20181231
AUBURN/PIERCE,2724,0.065,0.034,0,0.099,20181001,20181231
PIERCE-PTBA RTA,2727,0.065,0.034,0,0.099,20181001,20181231
ROY - MVET,2762,0.065,0.014,0,0.079,20181001,20181231
PIERCE PTBA - HBZ,2787,0.065,0.02,0,0.085,20181001,20181231
GIG HARBOR HBZ,2788,0.065,0.02,0,0.085,20181001,20181231
PIERCE NON-RTA HBZ,2789,0.065,0.014,0,0.079,20181001,20181231
SAN JUAN COUNTY,2800,0.065,0.016,0,0.081,20181001,20181231
FRIDAY HARBOR,2801,0.065,0.018,0,0.083,20181001,20181231
SAN JUAN COUNTY - MVET,2850,0.065,0.013,0,0.078,20181001,20181231
FRIDAY HARBOR - MVET,2851,0.065,0.015,0,0.08,20181001,20181231
SKAGIT COUNTY,2900,0.065,0.016,0,0.081,20181001,20181231
ANACORTES,2901,0.065,0.02,0,0.085,20181001,20181231
BURLINGTON,2902,0.065,0.02,0,0.085,20181001,20181231
CONCRETE,2903,0.065,0.02,0,0.085,20181001,20181231
HAMILTON,2904,0.065,0.02,0,0.085,20181001,20181231
LA CONNER,2905,0.065,0.02,0,0.085,20181001,20181231
LYMAN,2906,0.065,0.02,0,0.085,20181001,20181231
MOUNT VERNON,2907,0.065,0.022,0,0.087,20181001,20181231
SEDRO WOOLLEY,2908,0.065,0.02,0,0.085,20181001,20181231
SKAGIT-PTBA,2929,0.065,0.02,0,0.085,20181001,20181231
SKAGIT COUNTY - MVET,2950,0.065,0.013,0,0.078,20181001,20181231
ANACORTES - MVET,2951,0.065,0.017,0,0.082,20181001,20181231
BURLINGTON - MVET,2952,0.065,0.017,0,0.082,20181001,20181231
CONCRETE - MVET,2953,0.065,0.017,0,0.082,20181001,20181231
HAMILTON - MVET,2954,0.065,0.017,0,0.082,20181001,20181231
LA CONNER - MVET,2955,0.065,0.017,0,0.082,20181001,20181231
LYMAN - MVET,2956,0.065,0.017,0,0.082,20181001,20181231
MOUNT VERNON - MVET,2957,0.065,0.019,0,0.084,20181001,20181231
SEDRO WOOLLEY - MVET,2958,0.065,0.017,0,0.082,20181001,20181231
SKAGIT COUNTY PTBA - MVET,2959,0.065,0.017,0,0.082,20181001,20181231
SKAMANIA COUNTY,3000,0.065,0.012,0,0.077,20181001,20181231
NORTH BONNEVILLE,3001,0.065,0.012,0,0.077,20181001,20181231
STEVENSON,3002,0.065,0.012,0,0.077,20181001,20181231
SNOHOMISH COUNTY RTA,3100,0.065,0.026,0,0.091,20181001,20181231
ARLINGTON,3101,0.065,0.026,0,0.091,20181001,20181231
BRIER,3102,0.065,0.038,0,0.103,20181001,20181231
DARRINGTON,3103,0.065,0.024,0,0.089,20181001,20181231
EDMONDS,3104,0.065,0.038,0,0.103,20181001,20181231
EVERETT RTA,3105,0.065,0.032,0,0.097,20181001,20181231
GOLD BAR,3106,0.065,0.024,0,0.089,20181001,20181231
GRANITE FALLS,3107,0.065,0.024,0,0.089,20181001,20181231
INDEX,3108,0.065,0.024,0,0.089,20181001,20181231
LAKE STEVENS,3109,0.065,0.024,0,0.089,20181001,20181231
LYNNWOOD,3110,0.065,0.039,0,0.104,20181001,20181231
MARYSVILLE,3111,0.065,0.026,0,0.091,20181001,20181231
MONROE,3112,0.065,0.027,0,0.092,20181001,20181231
MOUNTLAKE TERRACE,3113,0.065,0.038,0,0.103,20181001,20181231
MUKILTEO,3114,0.065,0.039,0,0.104,20181001,20181231
SNOHOMISH CITY,3115,0.065,0.026,0,0.091,20181001,20181231
STANWOOD,3116,0.065,0.026,0,0.091,20181001,20181231
SULTAN,3117,0.065,0.024,0,0.089,20181001,20181231
WOODWAY,3118,0.065,0.038,0,0.103,20181001,20181231
MILL CREEK,3119,0.065,0.039,0,0.104,20181001,20181231
BOTHELL/SNOHOMISH,3120,0.065,0.038,0,0.103,20181001,20181231
SNOHOMISH-PTBA RTA,3131,0.065,0.038,0,0.103,20181001,20181231
MONROE - MVET,3162,0.065,0.026,0,0.091,20181001,20181231
MILL CREEK - MVET,3169,0.065,0.038,0,0.103,20181001,20181231
SPOKANE COUNTY,3200,0.065,0.016,0,0.081,20181001,20181231
AIRWAY HEIGHTS,3201,0.065,0.025,0,0.09,20181001,20181231
CHENEY,3202,0.065,0.023,0,0.088,20181001,20181231
DEER PARK,3203,0.065,0.016,0,0.081,20181001,20181231
FAIRFIELD,3204,0.065,0.016,0,0.081,20181001,20181231
LATAH,3205,0.065,0.016,0,0.081,20181001,20181231
MEDICAL LAKE,3206,0.065,0.023,0,0.088,20181001,20181231
MILLWOOD,3207,0.065,0.023,0,0.088,20181001,20181231
ROCKFORD,3208,0.065,0.016,0,0.081,20181001,20181231
SPANGLE,3209,0.065,0.016,0,0.081,20181001,20181231
SPOKANE CITY,3210,0.065,0.023,0,0.088,20181001,20181231
WAVERLY,3211,0.065,0.016,0,0.081,20181001,20181231
LIBERTY LAKE,3212,0.065,0.023,0,0.088,20181001,20181231
SPOKANE VALLEY,3213,0.065,0.023,0,0.088,20181001,20181231
SPOKANE-PTBA,3232,0.065,0.023,0,0.088,20181001,20181231
SPOKANE COUNTY - MVET,3260,0.065,0.015,0,0.08,20181001,20181231
AIRWAY HEIGHTS - MVET,3261,0.065,0.024,0,0.089,20181001,20181231
CHENEY - MVET,3262,0.065,0.022,0,0.087,20181001,20181231
DEER PARK - MVET,3263,0.065,0.015,0,0.08,20181001,20181231
FAIRFIELD - MVET,3264,0.065,0.015,0,0.08,20181001,20181231
LATAH - MVET,3265,0.065,0.015,0,0.08,20181001,20181231
MEDICAL LAKE - MVET,3266,0.065,0.022,0,0.087,20181001,20181231
MILLWOOD - MVET,3267,0.065,0.022,0,0.087,20181001,20181231
ROCKFORD - MVET,3268,0.065,0.015,0,0.08,20181001,20181231
SPANGLE - MVET,3269,0.065,0.015,0,0.08,20181001,20181231
SPOKANE CITY - MVET,3270,0.065,0.022,0,0.087,20181001,20181231
WAVERLY - MVET,3271,0.065,0.015,0,0.08,20181001,20181231
LIBERTY LAKE - MVET,3272,0.065,0.022,0,0.087,20181001,20181231
SPOKANE VALLEY - MVET,3273,0.065,0.022,0,0.087,20181001,20181231
SPOKANE PTBA - MVET,3282,0.065,0.022,0,0.087,20181001,20181231
STEVENS COUNTY,3300,0.065,0.011,0,0.076,20181001,20181231
CHEWELAH,3301,0.065,0.011,0,0.076,20181001,20181231
COLVILLE,3302,0.065,0.011,0,0.076,20181001,20181231
KETTLE FALLS,3303,0.065,0.011,0,0.076,20181001,20181231
MARCUS,3304,0.065,0.011,0,0.076,20181001,20181231
NORTHPORT,3305,0.065,0.011,0,0.076,20181001,20181231
SPRINGDALE,3306,0.065,0.011,0,0.076,20181001,20181231
THURSTON COUNTY,3400,0.065,0.014,0,0.079,20181001,20181231
BUCODA,3401,0.065,0.014,0,0.079,20181001,20181231
LACEY,3402,0.065,0.024,0,0.089,20181001,20181231
OLYMPIA,3403,0.065,0.024,0,0.089,20181001,20181231
RAINIER,3404,0.065,0.014,0,0.079,20181001,20181231
TENINO,3405,0.065,0.014,0,0.079,20181001,20181231
TUMWATER,3406,0.065,0.024,0,0.089,20181001,20181231
YELM,3407,0.065,0.022,0,0.087,20181001,20181231
THURSTON-PTBA,3434,0.065,0.022,0,0.087,20181001,20181231
OLYMPIA - MVET,3453,0.065,0.023,0,0.088,20181001,20181231
WAHKIAKUM COUNTY,3500,0.065,0.011,0,0.076,20181001,20181231
CATHLAMET,3501,0.065,0.011,0,0.076,20181001,20181231
WALLA WALLA COUNTY,3600,0.065,0.016,0,0.081,20181001,20181231
COLLEGE PLACE,3601,0.065,0.022,0,0.087,20181001,20181231
PRESCOTT,3602,0.065,0.016,0,0.081,20181001,20181231
WAITSBURG,3603,0.065,0.017,0,0.082,20181001,20181231
WALLA WALLA CITY,3604,0.065,0.024,0,0.089,20181001,20181231
WALLA WALLA-PTBA,3636,0.065,0.022,0,0.087,20181001,20181231
WALLA WALLA COUNTY - MVET,3650,0.065,0.013,0,0.078,20181001,20181231
COLLEGE PLACE - MVET,3651,0.065,0.019,0,0.084,20181001,20181231
PRESCOTT - MVET,3652,0.065,0.013,0,0.078,20181001,20181231
WAITSBURG - MVET,3653,0.065,0.014,0,0.079,20181001,20181231
WALLA WALLA CITY - MVET,3654,0.065,0.021,0,0.086,20181001,20181231
WALLA WALLA PTBA - MVET,3686,0.065,0.019,0,0.084,20181001,20181231
WHATCOM COUNTY,3700,0.065,0.014,0,0.079,20181001,20181231
BELLINGHAM,3701,0.065,0.022,0,0.087,20181001,20181231
BLAINE,3702,0.065,0.022,0,0.087,20181001,20181231
EVERSON,3703,0.065,0.02,0,0.085,20181001,20181231
FERNDALE,3704,0.065,0.022,0,0.087,20181001,20181231
LYNDEN,3705,0.065,0.022,0,0.087,20181001,20181231
NOOKSACK,3706,0.065,0.02,0,0.085,20181001,20181231
SUMAS,3707,0.065,0.02,0,0.085,20181001,20181231
WHATCOM-PTBA,3737,0.065,0.02,0,0.085,20181001,20181231
WHATCOM COUNTY - MVET,3750,0.065,0.013,0,0.078,20181001,20181231
BELLINGHAM - MVET,3751,0.065,0.021,0,0.086,20181001,20181231
BLAINE - MVET,3752,0.065,0.021,0,0.086,20181001,20181231
EVERSON - MVET,3753,0.065,0.019,0,0.084,20181001,20181231
FERNDALE - MVET,3754,0.065,0.021,0,0.086,20181001,20181231
LYNDEN - MVET,3755,0.065,0.021,0,0.086,20181001,20181231
NOOKSACK - MVET,3756,0.065,0.019,0,0.084,20181001,20181231
SUMAS - MVET,3757,0.065,0.019,0,0.084,20181001,20181231
WHATCOM PTBA - MVET,3787,0.065,0.019,0,0.084,20181001,20181231
WHITMAN COUNTY,3800,0.065,0.013,0,0.078,20181001,20181231
ALBION,3801,0.065,0.013,0,0.078,20181001,20181231
COLFAX,3802,0.065,0.013,0,0.078,20181001,20181231
COLTON,3803,0.065,0.013,0,0.078,20181001,20181231
ENDICOTT,3804,0.065,0.013,0,0.078,20181001,20181231
FARMINGTON,3805,0.065,0.013,0,0.078,20181001,20181231
GARFIELD,3806,0.065,0.013,0,0.078,20181001,20181231
LA CROSSE,3807,0.065,0.013,0,0.078,20181001,20181231
LAMONT,3808,0.065,0.013,0,0.078,20181001,20181231
MALDEN,3809,0.065,0.013,0,0.078,20181001,20181231
OAKESDALE,3810,0.065,0.013,0,0.078,20181001,20181231
PALOUSE,3811,0.065,0.013,0,0.078,20181001,20181231
PULLMAN,3812,0.065,0.013,0,0.078,20181001,20181231
ROSALIA,3813,0.065,0.013,0,0.078,20181001,20181231
ST. JOHN,3814,0.065,0.013,0,0.078,20181001,20181231
TEKOA,3815,0.065,0.013,0,0.078,20181001,20181231
UNIONTOWN,3816,0.065,0.013,0,0.078,20181001,20181231
YAKIMA COUNTY,3900,0.065,0.014,0,0.079,20181001,20181231
GRANDVIEW,3901,0.065,0.014,0,0.079,20181001,20181231
GRANGER,3902,0.065,0.014,0,0.079,20181001,20181231
HARRAH,3903,0.065,0.014,0,0.079,20181001,20181231
MABTON,3904,0.065,0.014,0,0.079,20181001,20181231
MOXEE CITY,3905,0.065,0.014,0,0.079,20181001,20181231
NACHES,3906,0.065,0.014,0,0.079,20181001,20181231
SELAH,3907,0.065,0.017,0,0.082,20181001,20181231
SUNNYSIDE,3908,0.065,0.014,0,0.079,20181001,20181231
TIETON,3909,0.065,0.014,0,0.079,20181001,20181231
TOPPENISH,3910,0.065,0.014,0,0.079,20181001,20181231
UNION GAP,3911,0.065,0.016,0,0.081,20181001,20181231
WAPATO,3912,0.065,0.014,0,0.079,20181001,20181231
YAKIMA CITY,3913,0.065,0.017,0,0.082,20181001,20181231
ZILLAH,3914,0.065,0.014,0,0.079,20181001,20181231
YAKIMA COUNTY - MVET,3960,0.065,0.011,0,0.076,20181001,20181231
GRANDVIEW - MVET,3961,0.065,0.011,0,0.076,20181001,20181231
GRANGER - MVET,3962,0.065,0.011,0,0.076,20181001,20181231
HARRAH - MVET,3963,0.065,0.011,0,0.076,20181001,20181231
MABTON - MVET,3964,0.065,0.011,0,0.076,20181001,20181231
MOXEE CITY - MVET,3965,0.065,0.011,0,0.076,20181001,20181231
NACHES - MVET,3966,0.065,0.011,0,0.076,20181001,20181231
SELAH - MVET,3967,0.065,0.014,0,0.079,20181001,20181231
SUNNYSIDE - MVET,3968,0.065,0.011,0,0.076,20181001,20181231
TIETON - MVET,3969,0.065,0.011,0,0.076,20181001,20181231
TOPPENISH - MVET,3970,0.065,0.011,0,0.076,20181001,20181231
UNION GAP - MVET,3971,0.065,0.013,0,0.078,20181001,20181231
WAPATO - MVET,3972,0.065,0.011,0,0.076,20181001,20181231
YAKIMA CITY - MVET,3973,0.065,0.014,0,0.079,20181001,20181231
ZILLAH - MVET,3974,0.065,0.011,0,0.076,20181001,20181231
KING COUNTY NON-RTA,4000,0.065,0.021,0,0.086,20181001,20181231
AUBURN/KING NON-RTA,4002,0.065,0.021,0,0.086,20181001,20181231
BELLEVUE NON-RTA,4004,0.065,0.021,0,0.086,20181001,20181231
ISSAQUAH NON-RTA,4014,0.065,0.021,0,0.086,20181001,20181231
KENT NON-RTA,4015,0.065,0.021,0,0.086,20181001,20181231
REDMOND NON-RTA,4024,0.065,0.021,0,0.086,20181001,20181231
RENTON NON-RTA,4025,0.065,0.021,0,0.086,20181001,20181231
WOODINVILLE NON-RTA,4035,0.065,0.021,0,0.086,20181001,20181231
NEWCASTLE NON-RTA,4036,0.065,0.021,0,0.086,20181001,20181231
SAMMAMISH NON-RTA,4039,0.065,0.021,0,0.086,20181001,20181231
PIERCE COUNTY NON-RTA,4100,0.065,0.014,0,0.079,20181001,20181231
BONNEY LAKE NON-RTA,4101,0.065,0.014,0,0.079,20181001,20181231
PIERCE-PTBA NON-RTA,4127,0.065,0.02,0,0.085,20181001,20181231
SNOHOMISH COUNTY NON-RTA,4200,0.065,0.012,0,0.077,20181001,20181231
EVERETT NON-RTA,4205,0.065,0.018,0,0.083,20181001,20181231
SNOHOMISH-PTBA NON-RTA,4231,0.065,0.024,0,0.089,20181001,20181231
